exp_id,left,right,left_value,right_value,count,y100_mean,y100_std,expected_additive_y100,interaction_excess_y100
v81_20260618_103517,mean_working_group,activity,<=6,light,29,29.310344827586206,17.93062712686206,30.223523602729678,-0.9131787751434715
v81_20260618_103517,mean_working_group,activity,<=6,intense,30,30.466666666666665,19.772382922571104,31.43506722689076,-0.9684005602240937
v81_20260618_103517,mean_working_group,activity,11,light,33,56.75757575757576,25.826379807076986,58.69712304250559,-1.93954728492983
v81_20260618_103517,mean_working_group,activity,8,intense,105,46.457142857142856,31.213911029511213,48.499815964523286,-2.0426731073804305
v81_20260618_103517,mean_working_group,activity,>=12,light,21,68.95238095238095,16.92180897680916,71.41909273947527,-2.466711787094326
v81_20260618_103517,mean_working_group,activity,10,intense,73,42.657534246575345,32.24309537546251,47.04156647398843,-4.384032227413087
v81_20260618_103517,mean_working_group,family_medical_history,>=12,high blood pressure,9,82.88888888888889,14.945270526528155,74.33605303030302,8.552835858585865
v81_20260618_103517,mean_working_group,family_medical_history,11,__MISSING__,64,64.953125,22.518020781601454,58.518841633019285,6.434283366980715
v81_20260618_103517,mean_working_group,family_medical_history,10,diabetes,66,52.93939393939394,27.514403941252738,47.768070539029075,5.171323400364862
v81_20260618_103517,mean_working_group,family_medical_history,9,heart disease,80,51.3625,31.104252527853095,46.374196615156244,4.9883033848437535
v81_20260618_103517,mean_working_group,family_medical_history,10,high blood pressure,68,53.4264705882353,31.027823900719294,48.74698314065511,4.679487447580186
v81_20260618_103517,mean_working_group,family_medical_history,>=12,__MISSING__,38,74.6842105263158,16.730139921480593,71.24081132998899,3.4433991963268085
v81_20260618_103517,mean_working_group,family_medical_history,<=6,__MISSING__,62,32.29032258064516,18.823935841103303,30.045242193243375,2.245080387401785
v81_20260618_103517,mean_working_group,family_medical_history,8,heart disease,59,49.69491525423729,31.678478627963646,48.497142933497024,1.1977723207402633
v81_20260618_103517,mean_working_group,family_medical_history,missing,diabetes,227,51.17621145374449,28.440976883967636,50.1146280960484,1.0615833576960938
v81_20260618_103517,mean_working_group,family_medical_history,8,__MISSING__,225,48.09777777777778,29.877715723016657,47.1099909308759,0.9877868469018765
v81_20260618_103517,mean_working_group,family_medical_history,7,__MISSING__,172,46.174418604651166,28.877515833475606,45.44950201037778,0.7249165942733882
v81_20260618_103517,mean_working_group,family_medical_history,10,heart disease,40,47.5,31.347514521356658,47.038893442962184,0.4611065570378159
v81_20260618_103517,mean_working_group,family_medical_history,7,diabetes,63,47.84126984126984,27.55241711146366,47.565831109065805,0.27543873220403725
v81_20260618_103517,mean_working_group,family_medical_history,missing,high blood pressure,168,51.357142857142854,27.250289393461014,51.09354069767442,0.2636021594684337
v81_20260618_103517,mean_working_group,family_medical_history,missing,__MISSING__,483,47.6935817805383,28.22592059748923,47.998298997360386,-0.30471721682208397
v81_20260618_103517,mean_working_group,family_medical_history,7,high blood pressure,46,48.21739130434783,32.051980728170825,48.544743710691826,-0.32735240634399787
v81_20260618_103517,mean_working_group,family_medical_history,9,__MISSING__,270,44.525925925925925,29.01232391123731,44.98704461253512,-0.46111868660919697
v81_20260618_103517,mean_working_group,family_medical_history,<=6,high blood pressure,19,32.526315789473685,17.218750829167575,33.14048389355742,-0.6141681040837383
v81_20260618_103517,mean_working_group,family_medical_history,8,high blood pressure,74,49.36486486486486,32.34894265779608,50.20523263118995,-0.8403677663250875
v81_20260618_103517,mean_working_group,family_medical_history,missing,heart disease,154,48.12987012987013,27.403234697357327,49.38545099998151,-1.2555808701113804
v81_20260618_103517,mean_working_group,family_medical_history,9,high blood pressure,79,46.734177215189874,31.648594921928126,48.082286312849156,-1.3481090976592824
v81_20260618_103517,mean_working_group,family_medical_history,9,diabetes,108,45.72222222222222,27.77642156606168,47.10337371122315,-1.3811514890009278
v81_20260618_103517,mean_working_group,family_medical_history,<=6,heart disease,19,29.0,17.86368134263235,31.432394195864497,-2.4323941958644966
v81_20260618_103517,mean_working_group,family_medical_history,8,diabetes,93,46.73118279569893,28.72702854870239,49.22632002956393,-2.4951372338650017
v81_20260618_103517,mean_working_group,family_medical_history,7,heart disease,37,44.21621621621622,29.960284020993836,46.8366540129989,-2.6204377967826815
v81_20260618_103517,mean_working_group,family_medical_history,<=6,diabetes,19,28.31578947368421,18.511415791880506,32.1615712919314,-3.8457818182471932
v81_20260618_103517,mean_working_group,family_medical_history,10,__MISSING__,172,41.61046511627907,28.31887155824026,45.65174144034106,-4.0412763240619896
v81_20260618_103517,mean_working_group,family_medical_history,11,diabetes,26,56.23076923076923,24.61106692901824,60.63517073170731,-4.404401500938079
v81_20260618_103517,mean_working_group,family_medical_history,>=12,heart disease,17,66.76470588235294,20.90911706578229,72.62796333261011,-5.863257450257166
v81_20260618_103517,mean_working_group,family_medical_history,>=12,diabetes,13,65.61538461538461,18.84382507851693,73.35714042867701,-7.7417558132924
v81_20260618_103517,mean_working_group,family_medical_history,11,high blood pressure,17,53.0,25.857784127801825,61.61408333333333,-8.614083333333333
v81_20260618_103517,mean_working_group,family_medical_history,11,heart disease,13,49.0,30.041637771599603,59.90599363564041,-10.905993635640407
v81_20260618_103517,mean_working_group,medical_history,11,__MISSING__,54,66.25925925925925,22.629239046382203,57.96939591414533,8.289863345113922
v81_20260618_103517,mean_working_group,medical_history,10,heart disease,69,53.65217391304348,29.736502665795097,46.776133403122294,6.876040509921182
v81_20260618_103517,mean_working_group,medical_history,<=6,heart disease,12,37.916666666666664,17.505626801030854,31.169634156024607,6.7470325106420574
v81_20260618_103517,mean_working_group,medical_history,9,diabetes,93,53.26881720430107,29.566851218502997,47.675525772664706,5.593291431636366
v81_20260618_103517,mean_working_group,medical_history,>=12,__MISSING__,34,75.97058823529412,16.63054016892297,70.69136561111503,5.279222624179084
v81_20260618_103517,mean_working_group,medical_history,7,heart disease,60,49.666666666666664,29.840631307600685,46.57389397315901,3.092772693507655
v81_20260618_103517,mean_working_group,medical_history,10,high blood pressure,71,50.76056338028169,30.00260216749416,48.729428740846394,2.031134639435294
v81_20260618_103517,mean_working_group,medical_history,<=6,__MISSING__,55,31.509090909090908,19.474458797474846,29.49579647436942,2.0132944347214874
v81_20260618_103517,mean_working_group,medical_history,7,high blood pressure,74,50.189189189189186,28.791492120271617,48.527189310883124,1.6619998783060623
v81_20260618_103517,mean_working_group,medical_history,missing,high blood pressure,249,52.100401606425706,28.32419531355909,51.075986297865704,1.0244153085600018
v81_20260618_103517,mean_working_group,medical_history,8,__MISSING__,187,47.13903743315508,30.14555951061895,46.56054521200195,0.5784922211531338
v81_20260618_103517,mean_working_group,medical_history,<=6,diabetes,24,33.25,15.632324370271727,32.73372335337296,0.5162766466270412
v81_20260618_103517,mean_working_group,medical_history,missing,__MISSING__,428,47.799065420560744,28.357731501173816,47.44885327848642,0.3502121420743265
v81_20260618_103517,mean_working_group,medical_history,9,high blood pressure,126,48.24603174603175,28.453944965979392,48.064731913040454,0.18129983299129293
v81_20260618_103517,mean_working_group,medical_history,8,diabetes,80,49.9125,29.057426227856823,49.798472091005486,0.11402790899451531
v81_20260618_103517,mean_working_group,medical_history,8,high blood pressure,107,49.570093457943926,30.500575976476963,50.18767823138125,-0.6175847734373221
v81_20260618_103517,mean_working_group,medical_history,9,__MISSING__,242,43.54545454545455,29.082797812980534,44.43759889366117,-0.8921443482066209
v81_20260618_103517,mean_working_group,medical_history,8,heart disease,77,47.285714285714285,31.59399390909323,48.234382893657134,-0.9486686079428495
v81_20260618_103517,mean_working_group,medical_history,missing,diabetes,174,49.62068965517241,26.820637976881613,50.68678015748997,-1.0660905023175573
v81_20260618_103517,mean_working_group,medical_history,10,diabetes,52,47.26923076923077,29.017989947154376,48.340222600470646,-1.0709918312398798
v81_20260618_103517,mean_working_group,medical_history,7,__MISSING__,135,43.45185185185185,28.335073597906604,44.90005629150382,-1.448204439651974
v81_20260618_103517,mean_working_group,medical_history,missing,heart disease,181,47.668508287292816,27.73787127308855,49.12269096014162,-1.4541826728488019
v81_20260618_103517,mean_working_group,medical_history,7,diabetes,49,45.91836734693877,30.67085800254445,48.13798317050736,-2.2196158235685886
v81_20260618_103517,mean_working_group,medical_history,>=12,heart disease,11,69.9090909090909,19.20653297945543,72.36520329277022,-2.4561123836793115
v81_20260618_103517,mean_working_group,medical_history,>=12,diabetes,18,71.27777777777777,18.380954195149474,73.92929249011857,-2.6515147123407985
v81_20260618_103517,mean_working_group,medical_history,11,high blood pressure,28,58.32142857142857,25.94160618036075,61.59652893352463,-3.2751003620960617
v81_20260618_103517,mean_working_group,medical_history,10,__MISSING__,154,41.688311688311686,28.56262915172688,45.102295721467094,-3.4139840331554083
v81_20260618_103517,mean_working_group,medical_history,9,heart disease,76,41.973684210526315,31.147380279015668,46.111436575316354,-4.137752364790039
v81_20260618_103517,mean_working_group,medical_history,<=6,high blood pressure,28,25.821428571428573,17.524699123382387,33.12292949374872,-7.301500922320148
v81_20260618_103517,mean_working_group,medical_history,>=12,high blood pressure,14,66.92857142857143,21.878912522948053,74.31849863049433,-7.389927201922902
v81_20260618_103517,mean_working_group,medical_history,11,heart disease,22,51.27272727272727,22.522331390320392,59.64323359580052,-8.370506323073243
v81_20260618_103517,mean_working_group,medical_history,11,diabetes,16,51.125,28.12798132346744,61.20732279314887,-10.082322793148869
v81_20260618_103517,mean_working_group,sleep_pattern,11,oversleeping,16,65.0,17.723806965021183,56.75177987421383,8.248220125786169
v81_20260618_103517,mean_working_group,sleep_pattern,7,oversleeping,44,50.02272727272727,28.687156705237744,43.682440251572324,6.34028702115495
v81_20260618_103517,mean_working_group,sleep_pattern,10,oversleeping,45,48.44444444444444,31.04289960943752,43.884679681535594,4.5597647629088485
v81_20260618_103517,mean_working_group,sleep_pattern,>=12,normal,44,74.56818181818181,17.820027571916036,72.7524346937584,1.8157471244234102
v81_20260618_103517,mean_working_group,sleep_pattern,9,sleep difficulty,176,47.80681818181818,27.89484661245635,46.71826316924432,1.0885550125738632
v81_20260618_103517,mean_working_group,sleep_pattern,<=6,normal,57,32.45614035087719,18.145316372707978,31.55686555701279,0.8992747938644001
v81_20260618_103517,mean_working_group,sleep_pattern,8,sleep difficulty,165,49.666666666666664,28.22434801971892,48.8412094875851,0.8254571790815675
v81_20260618_103517,mean_working_group,sleep_pattern,missing,sleep difficulty,336,50.544642857142854,28.057261829419588,49.72951755406958,0.8151253030732732
v81_20260618_103517,mean_working_group,sleep_pattern,10,normal,186,47.62903225806452,30.769184586847505,47.163364804110465,0.4656674539540546
v81_20260618_103517,mean_working_group,sleep_pattern,11,sleep difficulty,42,60.523809523809526,26.914714531354356,60.25006018972848,0.27374933408104596
v81_20260618_103517,mean_working_group,sleep_pattern,missing,normal,538,49.58364312267658,28.20610285863733,49.509922361129775,0.0737207615468023
v81_20260618_103517,mean_working_group,sleep_pattern,9,normal,278,46.39928057553957,30.47592882502038,46.498667976304525,-0.09938740076495378
v81_20260618_103517,mean_working_group,sleep_pattern,8,normal,228,48.48245614035088,31.073944056510474,48.62161429464532,-0.13915815429444223
v81_20260618_103517,mean_working_group,sleep_pattern,7,sleep difficulty,110,46.63636363636363,29.51744229264424,47.18072056708697,-0.5443569307233389
v81_20260618_103517,mean_working_group,sleep_pattern,<=6,sleep difficulty,49,30.73469387755102,19.02276652483816,31.77646074995257,-1.0417668724015492
v81_20260618_103517,mean_working_group,sleep_pattern,<=6,oversleeping,13,27.153846153846153,16.071953593377884,28.27818043443792,-1.1243342805917678
v81_20260618_103517,mean_working_group,sleep_pattern,7,normal,164,45.603658536585364,29.058143300191542,46.961125374147194,-1.3574668375618302
v81_20260618_103517,mean_working_group,sleep_pattern,9,oversleeping,83,41.54216867469879,29.37532613407717,43.21998285372967,-1.6778141790308752
v81_20260618_103517,mean_working_group,sleep_pattern,missing,oversleeping,158,44.51898734177215,26.89581728639276,46.23123723855492,-1.7122498967827653
v81_20260618_103517,mean_working_group,sleep_pattern,8,oversleeping,58,43.172413793103445,32.23822397867872,45.34292917207045,-2.1705153789670035
v81_20260618_103517,mean_working_group,sleep_pattern,11,normal,62,57.66129032258065,24.892518823729766,60.0304649967887,-2.369174674208054
v81_20260618_103517,mean_working_group,sleep_pattern,>=12,sleep difficulty,26,70.53846153846153,19.33748850131427,72.97202988669818,-2.4335683482366477
v81_20260618_103517,mean_working_group,sleep_pattern,10,sleep difficulty,115,44.73913043478261,26.65704441195766,47.38295999705026,-2.6438295622676478
v81_20260618_103517,mean_working_group,sleep_pattern,>=12,oversleeping,7,65.28571428571429,18.580583823930162,69.47374957118353,-4.18803528546924
v81_20260618_103517,mean_working_group,smoke_status,11,current-smoker,31,66.6774193548387,22.84642509857825,60.905707482993186,5.771711871845518
v81_20260618_103517,mean_working_group,smoke_status,>=12,non-smoker,29,75.24137931034483,17.610173951468656,72.70886543004636,2.532513880298467
v81_20260618_103517,mean_working_group,smoke_status,8,ex-smoker,160,48.73125,30.649309117353187,47.086086142942996,1.6451638570570069
v81_20260618_103517,mean_working_group,smoke_status,7,ex-smoker,111,47.01801801801802,29.480342289237104,45.42559722244487,1.5924207955731475
v81_20260618_103517,mean_working_group,smoke_status,<=6,ex-smoker,53,31.528301886792452,17.383241015840632,30.02133740531047,1.5069644814819831
v81_20260618_103517,mean_working_group,smoke_status,9,non-smoker,201,47.601990049751244,29.347585863574885,46.455098712592495,1.146891337158749
v81_20260618_103517,mean_working_group,smoke_status,9,current-smoker,136,48.02205882352941,29.638180308955267,47.37391046250902,0.6481483610203895
v81_20260618_103517,mean_working_group,smoke_status,10,non-smoker,118,47.720338983050844,29.78523858375061,47.11979554039845,0.6005434426523948
v81_20260618_103517,mean_working_group,smoke_status,missing,current-smoker,284,50.73943661971831,29.55145947797933,50.38516484733429,0.3542717723840241
v81_20260618_103517,mean_working_group,smoke_status,10,ex-smoker,140,45.97142857142857,29.546924722116678,45.62783665240814,0.34359191902042596
v81_20260618_103517,mean_working_group,smoke_status,missing,ex-smoker,445,48.07865168539326,27.57946125040585,47.974394209427466,0.10425747596579527
v81_20260618_103517,mean_working_group,smoke_status,7,non-smoker,135,46.8962962962963,28.440635757655155,46.917556110435164,-0.02125981413886535
v81_20260618_103517,mean_working_group,smoke_status,<=6,current-smoker,23,32.391304347826086,21.32377915174168,32.432108043217276,-0.04080369539119033
v81_20260618_103517,mean_working_group,smoke_status,missing,non-smoker,303,49.135313531353134,27.147588537377498,49.46635309741776,-0.33103956606462503
v81_20260618_103517,mean_working_group,smoke_status,8,non-smoker,160,47.9,30.20979057426384,48.57804503093329,-0.6780450309332906
v81_20260618_103517,mean_working_group,smoke_status,10,current-smoker,88,46.78409090909091,29.154936438007958,48.038607290314964,-1.2545163812240574
v81_20260618_103517,mean_working_group,smoke_status,<=6,non-smoker,43,30.069767441860463,17.869094560744244,31.513296293300762,-1.4435288514402984
v81_20260618_103517,mean_working_group,smoke_status,8,current-smoker,131,48.030534351145036,29.920391536747516,49.496856780849804,-1.4663224297047677
v81_20260618_103517,mean_working_group,smoke_status,>=12,ex-smoker,29,69.72413793103448,18.388460185135013,71.21690654205608,-1.492768611021603
v81_20260618_103517,mean_working_group,smoke_status,>=12,current-smoker,19,72.0,19.902540318037573,73.62767717996289,-1.6276771799628875
v81_20260618_103517,mean_working_group,smoke_status,9,ex-smoker,200,43.31,29.493954750663246,44.963139824602216,-1.6531398246022135
v81_20260618_103517,mean_working_group,smoke_status,11,non-smoker,50,57.9,27.369169307295913,59.98689573307667,-2.0868957330766733
v81_20260618_103517,mean_working_group,smoke_status,11,ex-smoker,39,56.282051282051285,22.038183034701053,58.49493684508638,-2.212885563035094
v81_20260618_103517,mean_working_group,smoke_status,7,current-smoker,72,45.27777777777778,30.145759621565176,47.83636786035168,-2.5585900825739003
